combined_tagalog,english,difficulty,similarity_score,source
"Liban sa isáng magandáng tablero na may markong narra na hindî halos nagagamit, sapagkâ't násusulat pa ang _viva!_ na nákita roon sapol sa araw ng̃ pasukán, doon ay walâng anománg kasangkapang matinô ó sirâ.","With the exception of a beautiful blackboard in a narra frame, scarcely ever used, since there was still written on it the viva that had appeared on the opening day, no furniture, either useful or useless, was to be seen.",Hard,0.8027,El Filibusterismo
¿Inaakalà bagá ninyóng kamíng mg̃a prayle ay walâng budhî at ayaw kamí sa kabutihan?,Do you think that we friars have no consciences and that we do not desire what is right?,Medium,0.8027,El Filibusterismo
"Sa mg̃a dingdíng ay magulóng nagkakahalò ang mg̃a pánooríng payapà at bugháwin na gawâng Cantón at Hongkong, na kasama ng̃ mg̃a _cromo_ ng̃ mg̃a babaing naglilingkód sa mg̃a sultán, mg̃a babaing halos hubád, mg̃a larawan ng̃ Cristo na mukhâng babai, ng̃ kamatayan ng̃ banal at ng̃ makasalanan, na pawàng yarì sa mg̃a pagawàang hudio sa Alemania upang ipagbilí sa mg̃a bayang katóliko.","On the walls there was a lamentable medley of landscapes in dim and gaudy colors, painted in Canton or Hongkong, mingled with tawdry chromos of odalisks, half-nude women, effeminate lithographs of Christ, the deaths of the just and of the sinners - made by Jewish houses in Germany to be sold in the Catholic countries.",Hard,0.8026,El Filibusterismo
Ng̃unì't ang pang̃arap na itó'y warìng ukol sa hindî pangyayari.,But this dream seemed destined not to be realized.,Medium,0.8025,El Filibusterismo
"Ang matandâng abogado ay ng̃umíng̃iwî at pinaíilíng-ilíng ang ulo, tandâ ng̃ dî kasiyaháng loob at hináhaplos ng̃ kamáy ang kaniyáng upaw; pagkatapos, sa isáng pananalitâng mapag-ampón na warì'y may pagkahabág ay nagsabing: --¡Hm! masamâng aral iyán, masamâng palagáy, ¡hm!","The old lawyer grimaced and shook his head from side to side, in sign of discontent, while he rubbed his hand over his bald pate and said in a tone of condescending pity: ""Ahem! those are bad doctrines, bad theories, ahem!",Hard,0.8025,El Filibusterismo
Kinagát ni P. Fernandez ang kaniyáng labì.,Padre Fernandek bit his lip.,Easy,0.8025,El Filibusterismo
Nagdaan ang isáng batàng lalaking pipilaypilay; tumatacbóng ang tun~go'y sa plaza na pinanggagalin~gan n~g awit ni Sisa.,"A boy limped by, running toward the plaza, whence came the notes of Sisa's song.",Hard,0.8022,Noli Me Tangere
¡Iyan ang lálong masamáng masasabi n~g isáng cristiano sa cápuwà niyá!,"""The worst thing that one Christian can say to another!""",Medium,0.8022,Noli Me Tangere
Dapat ninyóng matandaan.,"You must remember that.""",Easy,0.8022,Noli Me Tangere
¿Alám bagá ninyó kung kaílan áalís ang _correo_?--ang malamíg na tanóng ng̃ General ng̃ matapos nang makapagsalitâ ang mataas na kawaní.,"""Do you know when the mail-boat leaves?"" inquired his Excellency coldly, when the high official had finished speaking.",Hard,0.8022,El Filibusterismo
"""Oo, ng̃â, silá'y kailang̃an ng̃ ating kaligayahan; kung sa lahát ng̃ dakong dalhín natin ang ating ilóng ay mátatagpûan natin ang manipís na kamáy, na gutóm sa halík, na sa araw-araw ay lalò pang nagpapatalapyâ sa sung̃álng̃ál na dagdág na tagláy natin sa mukhâ ¿bakit hindî silá suyùin at patabâín at bakit híhing̃ín ang kagagawáng hindî nárarapat na silá'y palayasin?","""If, then, their existence is necessary to our happiness, if wheresoever we turn we must encounter their delicate hands, hungering for kisses, that every day smooth the marks of abuse from our countenances, why not adore them and fatten them - why demand their impolitic expulsion?",Hard,0.8021,El Filibusterismo
¿Isáng magnanakaw?,"""A thief?",Easy,0.8021,El Filibusterismo
"Hindî na inalala ang sarili, walâng kagatól-gatól, tinung̃o ang bahay, at salamat sa kaniyáng makisig na kagayakan at kaniyáng anyông walâng alinlang̃an, ay madalîng nakaraán sa pintûan.","Without reflecting, without hesitation, he ran toward the house, and thanks to his stylish clothes and determined mien, easily secured admittance.",Hard,0.802,El Filibusterismo
"Ang casayahang hindî naglílicat sa lahát n~g panig, ang lúbháng maraming cocheng nagpaparoo't paritong sacdal n~g tutulin, ang mga carromata, ang mga calesa, ang mga europeo, ang mga insíc, ang mga dalisay na tagarito, na bawa't isá'y may canícanyang sariling pananamit, ang mga naglalacô n~g mga bun~gang-cahoy at halaman, mga corredor[160], hubád na cargador[161], mga tindá n~g mga cacanín, mga fonda[162], mga restaurant[163], mga tindahan, sampô n~g mga carretóng híla n~g mga mápagpaumanhin at waláng damdaming calabáw na tila mandín naglílibang sa paghìla n~g mga ""bulto"" samantalang naglilíninglining, ang lahát n~g ín~gay at calugcóg, pati n~g araw, isáng amó'y na tán~gì, ang sarisaring mga culay, pawang pumupucaw sa canyáng alaala n~g isáng daigdig na nagugupiling na mga gunità.","The movement in every part, so many carriages coming and going at full speed, the carromatas and calesas, the Europeans, the Chinese, the natives, each in his own peculiar costume, the fruit-venders, the money-changers, the naked porters, the grocery stores, the lunch stands and restaurants, the shops, and even the carts drawn by the impassive and indifferent carabao, who seems to amuse himself in carrying burdens while he patiently ruminates, all this noise and confusion, the very sun itself, the distinctive odors and the motley colors, awoke in the youth's mind a world of sleeping recollections.",Hard,0.802,Noli Me Tangere
"¡Magsalita pô cayó!--ang sagót n~g binatà sa wicang tagalog din, taglay ang pangguiguilalás sa mabalasic na anyô n~g tagabukid na iyón.","""Speak!"" answered the youth in the same language, puzzled by the pilot's gravity.",Hard,0.8019,Noli Me Tangere
¿Nakikilala ba ninyo ang doctor Espadaña?--ang tanong na mahigpit cay Victoria n~g capatid sa suso ni María Clara.,"""Do you know Dr. Espadaña?"" the foster-sister of Maria Clara asks Victoria curiously.",Hard,0.8019,Noli Me Tangere
"Nákilala ni Isagani na nag-aaksayá siyá ng̃ panahón, ng̃unì't tumugón: --Tunay ng̃â--ang sagót--maraming abogado at médiko, ng̃unì't hindî ko masasabing lumalabis, sapagkâ't mayroon tayong mg̃a bayang walâ ng̃ isá man sa kanilá; ng̃unì't kung marami man sa bilang, marahil ay kulang sa mabuti.","Isagani realized that he was losing time, but still could not forbear replying: ""Undoubtedly, there are many doctors and lawyers, but I won't say there are too many, since we have towns that lack them entirely, and if they do abound in quantity, perhaps they are deficient in quality.",Hard,0.8018,El Filibusterismo
"Sinabi ni María Clarang aayaw na siyáng cumain, at naupô sa piano na ang casama'y ang masayáng si Sinang, na bumúbulong sa canyáng mga tain~ga n~g mga talinghagang salitâ, samantalang balisáng nagpaparoo't parito sa salas si pari Salvi.","Maria Clara had said that she was not hungry and had seated herself at the piano in company with the merry Sinang, who was murmuring mysterious words into her ear.",Hard,0.8017,Noli Me Tangere
"Hindî mga táo ang mga guardia civil, sila'y mga guardia civil lamang: hindî nilá dinírin~gig ang mga panghihimanhic at sila'y bihasang macapanood n~g mga lúhà.","The civil-guards are not men, they are civil-guards; they do not listen to supplications and they are accustomed to see tears.",Hard,0.8017,Noli Me Tangere
¿Kung huming̃î pá kayâ siyá ng̃ lalòng malakí?,Dared he ask more?,Medium,0.8017,El Filibusterismo
Sa kapanahunang iyón ay warìng isáng pang̃arap ang kaniyáng kabuhayan.,During this period his life seemed to be a wild dream.,Medium,0.8017,El Filibusterismo
"Kung gayó'y lagyán ninyó doon ng̃ isáng babalâng magahasà na ipinagbabawal ang magdaan, at iiwan ng̃ bayan, na tumututol sa pagbabawal, ang daanan upang mang̃unyapít sa mg̃a bató.","Then place there an imperative notice forbidding the passage, and the people, in order to protest against the order, will leave the highway to clamber over the rocks.",Hard,0.8017,El Filibusterismo
"Nang buháy pa siyá'y mangyayaring acó'y magpacasamâ, málalabi sa akin ang sayá n~g loob sa pagcaalam na siyá'y buháy pa at marahil maaalaala acó; n~gayóng siyá'y patáy na ... ang convento ó ang libin~gan.","While he was alive I could debase myself, for there would have remained the consolation that he lived and perhaps thought of me, but now that he is dead--the nunnery or the tomb!""",Hard,0.8017,Noli Me Tangere
"Datapuwa't ¿nalilimutan na ba ninyong silasila ang pumatáy sa aking amá, at siya'y caniláng hinucay at inalis sa canyang libin~gan?",You forget that among them they killed my father and threw his body from the tomb!,Hard,0.8015,Noli Me Tangere
"Natátacpan ang canyáng noo't ang canyáng buhóc n~g carumaldumal na pusalì, puspos n~g mga sugat at mga galos ang canyáng mukhâ, ang catawa'y basâ at tumutulò, n~g siyá'y sumipót sa mga matá n~g caramihang hindi umíimic; pinapan~gán~galigkig siyá sa guináw n~g han~gin.","His forehead and hair smeared with filthy slime, his face covered with cuts and bruises, his body wet and dripping, he appeared to the eyes of the silent crowd.",Hard,0.8015,Noli Me Tangere
¡Gaanóng kapaitan ang linálagók niyá sa tuwîng paglabás sa klase at ng̃ mahulàan ang sanhî ng̃ inaasal sa kanyá ay gaanong luhà ang namulás sa kaniyáng mg̃a matá at gaanong hinanakít at daíng ang sumisilakbó't iniinís sa kaniyáng pusò!,"With what bitterness he left the class each day, and, guessing the reason for the treatment accorded him, what tears sprang into his eyes and what complaints were stifled in his heart!",Hard,0.8015,El Filibusterismo
"Sapol ng̃ lumabás ang mapupuláng kartel na nagbabalità nang _Les Cloches de Corneville_, ang mg̃a nanalo'y humandâ na sa pagdiriwang ng̃ kaniláng tagumpáy.",From the hour when the red posters announced Les Cloches de Corneville the victors prepared to celebrate their triumph.,Hard,0.8015,El Filibusterismo
"Hindî ang pighati n~g Inang iyón ang siyáng iniisip ni María Clara, ang iniisip niyá'y ang saríling capighatîan.","But Maria Clara was not thinking of that mother's sorrow, she was thinking of her own.",Hard,0.8014,Noli Me Tangere
"Nagsalimbayan ang mg̃a sulatán, nagkaroón ng̃ mg̃a pagpaparoo't parito, salisalitàan, mg̃a pagpupulong, mg̃a pagliliponlipon, mg̃a pagtatalo; natukoy na tulóy sampû ng̃ panghihimagsík ng̃ mg̃a indio, ang katamaran, ang mg̃a lipìng mababà't lipìng mataás, karang̃alan at ibá pang kamulalàan, at matapos ang maraming hatidhatirang usap at maraming bulóng bulung̃an, ay ibinigáy ang pahintulot, at si P. Salvi ay naglathalà ng̃ isáng _pastoral_ na walâng bumasa kundî ang tagá ayos lamang sa limbagan.","Notes and then more notes were exchanged, there were goings and comings, mutual recriminations, meetings, lobbyings, arguments, even talk of an insurrection of the natives, of their indolence, of inferior and superior races, of prestige and other humbugs, so that after much gossip and more recrimination, the permit was granted, Padre Salvi at the same time publishing a pastoral that was read by no one but the proof-reader.",Hard,0.8014,El Filibusterismo
"Sa isáng silíd, sa paligid ng̃ isáng _mesa velador_, ang apat ay nagrerebesino sa gitnâ ng̃ tawanan at biruáng ikinayáyamót ng̃ isáng kunwarì nag-aaral ng̃ lisyón ng̃unì't, ang tunay ay nag-áantay lamang na makahalili at siyá namán ang makásugal.","In one room, around a small table, four were playing revesino with laughter and jokes, to the great annoyance of another who pretended to be studying his lesson but who was in reality waiting his turn to play.",Hard,0.8014,El Filibusterismo
Tumígil si Plácido.,Placido paused.,Easy,0.8014,El Filibusterismo
"Ilinaan niyá ang canyáng unang pagdalaw sa magcacasambahay ni capitang Tiago, at ang sadya niya'y makipagkita cay Maria Clara at ibalitang siya'y ipinakipagcasundo na n~g Arzobispo sa Religión: may dalá siyáng sulat sa cura, na doo'y ipinagtatagubilin siyá, na ang Arzobispo pa ang siyáng tumitic.","His first visit was to the family of Capitan Tiago for the purpose of seeing Maria Clara and informing her that his Grace had reconciled him with religion, and that he brought to the curate a letter of recommendation in the handwriting of the Archbishop himself.",Hard,0.8012,Noli Me Tangere
"Sa araw na iyón pagtatalunan ang ukol sa pagtuturò ng̃ wikàng kastilà, kayâ't may iláng araw nang nároroon si P. Sibyla at si P. Irene.","That was the day for joining battle over the question of instruction in Castilian, for which purpose Padre Sibyla and Padre Irene had been there several days.",Hard,0.8012,El Filibusterismo
"Sa kaniyáng kalituhán ay hindî niya naisip ang itanóng kay Simoun, ng̃unì't sinabi sa kaniyá ni Simoun na lumayô sa daang Anloague.","In his bewilderment he had not thought of asking Simoun, but the latter had warned him to keep away from Calle Anloague.",Hard,0.8012,El Filibusterismo
"Nananatili sa hihigan si María Clara, namumutla, totoong namumutla; na sa canyang tabi ang canyang dalawang caibigang babae.","Maria Clara was still in bed, pale, very pale, and at her side were her two friends.",Medium,0.8012,Noli Me Tangere
"Untiunting nasásarhan ang mga pilic-matá niyá, ang balingtatáo n~g canyáng mga matá'y nananatili sa pagtitig sa lan~git na pinapawiran n~g mapuputíng alapaap; ibinabalì ang liig upáng macapanatili sa panonood n~g liwanag n~g araw, n~guni't pagdaca'y napilitang lumubog sa tubig, at tinacpán n~g carumaldumal na tabing na iyón ang canyáng minámasdang daigdíg.","His eyelids were closing as the pupils continued to stare at the sky where the fleecy clouds floated; he doubled back his neck so that he might still see the light of day, but all too soon he had to go down into the water, and that foul curtain shut out the sight of the world from him forever.",Hard,0.8011,Noli Me Tangere
Mabuti na ngâ ang siyá'y macapagbili n~g mga salacót at mga petaca at n~g huwag macailan~gang magpalimos na gaya n~g guinagawâ rito n~g cura sa taón-taón sa pan~galan n~ga papa.,"It would be well for him to be able to sell hats and cigar-cases so that he wouldn't have to beg alms, as the curate does here every year in the name of the Pope.",Hard,0.801,Noli Me Tangere
Samantala'y nagluluwal n~g samâ n~g loob ang franciscano.,Meanwhile the Franciscan had recovered himself.,Medium,0.8007,Noli Me Tangere
"Hindî namán siyá málalayô, maaarìng dalawin sa tuwîng makalawá ang bahay; mákikita siyá ng̃ kaniyáng lelong, at tungkol namán kay Basilio ay malaon ng̃ alám ang masamâng lakad ng̃ usap ng̃ kaniyáng amá, kayâ't madalás na sabihin sa kaniyà na: --Pag akó'y nagíng médiko at mákasal na tayo ay hindî na kakailang̃anin ng̃ amá mo ang kaniyáng mg̃a lupàín. --¡Malakíng kahang̃alán ang nágawâ kong panggigipuspós!--anyá sa sarili samantalang inaayos ang kaniyáng tampipì.","She was not going very far, she could come every second day to visit the house, her grandfather could see her, and as for Basilio, he had known for some time the bad turn her father's affairs had taken, since he had often said to her, ""When I'm a physician and we are married, your father won't need his fields.""",Hard,0.8006,El Filibusterismo
Ipinagpatuloy ang misa.,The mass continued.,Easy,0.8005,Noli Me Tangere
LII.= =ANG SULAT N~G M~GA PATAY AT ANG M~GA ANINO.= Itinatagò ang buwan n~g madilím na lan~git; wináwalis n~g malamig na han~ging palatandâan n~g pagdating n~g Diciembre ang iláng dahong tuyô at ang alabóc sa makipot na landas na patun~gó sa libin~gan.,"CHAPTER LII The Cards of the Dead and the Shadows The moon was hidden in a cloudy sky while a cold wind, precursor of the approaching December, swept the dry leaves and dust about in the narrow pathway leading to the cemetery.",Hard,0.8004,Noli Me Tangere
"Sinasabi co na sa inyo ¡aah!""","Tell us about it!""",Easy,0.8004,Noli Me Tangere
"Ang kahabághabág ay titindíg, magdadasál, tataghóy, tatawagan ang kaniyáng iná, ang kamatayan, at sumapit ang sandalî na, patâ na sa sindák, kung hindî lamang nagíng gabí noon ay tumakbó na sanang tuloytuloy sa kombento, mangyari na ang mangyayari.","The wretched girl arose, prayed, wept, called upon her mother, upon death, and there was even a moment when, overcome with terror, if it had not been night-time, she would have run straight to the convento, let happen what would.",Hard,0.8003,El Filibusterismo
Sa pagdating na iyón ni Ibarra'y namutla si Linares at namulá ang mga pisn~gi ni Maria Clara.,"At the appearance of Ibarra, Linares turned pale and Maria Clara's cheeks flushed crimson.",Hard,0.8002,Noli Me Tangere
"Upang tumimyas ang dan~gal ay kinacailan~gan umalin~gawn~gaw sa mga tain~ga n~g ating mga iniibig, sa han~ging sumisimoy sa ating tahanang bahay ó sa kinamulatang bayang mag-iin~gat n~g ating bun~gô at mga but-ó, ... ibig nating maramdaman ang pagcaunlac sa ibabaw n~g ating libin~gan, at n~g mapapag-init n~g canyáng mga sinag ang calamigán n~g camatayan, n~g huwag namang totoong mauwi na n~ga tayo sa wala, cung di may matirang anó mang macapagpapaalaala sa atin.","Fame to be sweet must resound in the ears of those we love, in the atmosphere of our home or of the land that will guard our ashes; we wish that fame should hover over our tomb to warm with its breath the chill of death, so that we may not be completely reduced to nothingness, that something of us may survive.",Hard,0.8001,Noli Me Tangere
"¡Ah, Padre Fernandez! kapag náhaharáp akó sa isáng taong aking minamamahal at iginagalang, ay ibig ko pa ang akó ang sisihin kay sa sumisi, ibig ko pa ang magsanggaláng kay sa sumugat.","Ah, Padre Fernandez, when I find myself in the presence of a person whom I esteem and respect, I prefer to be the accused rather than the accuser, I prefer to defend myself rather than take the offensive.",Hard,0.8001,El Filibusterismo
"Hindî: ang mg̃a prayle sa Pilipinas ay kaibá: mg̃a makikiyás, malilinis, mabubuti ang bihis, ang anit sa tuktok ay mainam ang pagkakaputol, ang mg̃a mukhâ'y ayós at maliwanag, ang matá'y mapagmasíd, anyông banal, may kauntîng pulá sa pisng̃í, may tungkód na palasan sa kamáy at sapatos na tsarol sa paa, na nakaaakit na sambahín silá at ilagáy sa birina.","No, the friars of the Philippines were different: elegant, handsome, well-dressed, their tonsures neatly shaven, their features symmetrical and serene, their gaze meditative, their expression saintly, somewhat rosy-cheeked, cane in hand and patent-leather shoes on their feet, inviting adoration and a place in a glass case.",Hard,0.8001,El Filibusterismo
"M~ga guinoo,--ang sinabing nagmamamadalî,--¡daratíng n~gayóng hapon ang cáran~galdan~galang Capitang General upang paunlacán ang aking bahay!","""Gentlemen,"" he announced in confusion, ""his Excellency the Captain-General is coming this evening to honor my house.""",Hard,0.8001,Noli Me Tangere
"Ipinauunawa sa piloto, n~g tagapamatnubay na nacacaalam n~g daan, cung palusóng, cung cailan dapat yumucód ó gumapang; gayón ma'y hindi nalao't sila'y nan~gagsirating sa isang may anyong salas, na bahagya na naliwanagan n~g mga huepe, at ang nan~garoroo'y labingdalawa ó labing limang lalaking may taglay na mga sandata, marurumi ang mga mukha at cagulatgulat ang mga pananamit, na nacaupo ang mga ibá, ang iba nama'y nacahiga, at nagsasalitaan n~g bahagya.","The guide, who seemed to be familiar with the way, warned the pilot when he should descend or turn aside or stoop down, so they were not long in reaching a kind of hall which was poorly lighted by pitch torches and occupied by twelve to fifteen armed men with dirty faces and soiled clothing, some seated and some lying down as they talked fitfully to one another.",Hard,0.8,Noli Me Tangere
"¡Isáng biyaya n~g Dios ang macapagwicang latin, cayâ nagsasalita n~g latín ang Iglesia!",To speak Latin is a gift of God and therefore the Church uses Latin!,Medium,0.8,Noli Me Tangere
"Paririto ca sa aki't cata'y tutulun~gan upang maipanghiganti ang iyong mga magugulang, at aco nama'y tutulun~gan mo upang maipanghiganti co ang aking mga anac, ¡ang aking mga anac na pawang nacacatulad mo!","You will come to me, and I shall help you to revenge your ancestors, you will help me to revenge my sons, my sons that were like you!""",Hard,0.8,Noli Me Tangere
Nawalâ ang matamís na kalamlamán sa kaniyáng mg̃a paning̃ín at ang nagniningníng ay ang madilím na lagabláb; masasabing siya'y namatáy at ang kaniyáng bangkáy ay mulîng nabuhay sa pagkasindák sa mg̃a bagay na nákita sa kabiláng buhay.,"The tender melancholy had disappeared from his eyes, and in its place glittered a dark light, so that it might be said that he had died and his corpse had revived, horrified with what it had seen in eternity.",Hard,0.7999,El Filibusterismo
Iniaanyaya co n~ga sa inyó ang pagcacagugol sa dalawang daang malalakíng bomba na tigalawang píso báwa't isá at dalawang daang cohatong gayón din ang halagá.,I propose two hundred big bombs at two pesos each and two hundred rockets at the same price.,Hard,0.7997,Noli Me Tangere
"Datapuwa't sa isang sawîng palad na pagcacatao'y dumatíng ang asawa niya't kinain ang canin, ang tapang baboy ramó, ang hità n~g pato, limang lawlaw at ang mga camatis.","But by an unfortunate chance her husband came and ate the rice, the slices of wild boar's meat, the duck leg, five of the little fishes, and the tomatoes.",Hard,0.7997,Noli Me Tangere
¡Eh! ¡música!,And what music!,Easy,0.7997,Noli Me Tangere
Hindî ba ninyó naririnig sa mga salitaan doon ang aking familia?,"""Perhaps you heard my family spoken of?""",Medium,0.7997,Noli Me Tangere
"Dapat mong pag-aralan ang dunong sa pamumuhay, ang dî maibibígay sa iyo n~g iyong kinamulatang lúpà, at n~g balang araw ay makapaglingcod ca sa canyá.","You must learn the science of life, a thing which your fatherland cannot teach you, so that you may some day be useful to it.",Hard,0.7996,Noli Me Tangere
Hindi pa maraming buwan ang nacararaan ay tumanggáp si parì Dámaso n~g utos n~g cagalanggalang na parì Provincial upáng ganapín ang pagcucura sa isáng malayong lalawigan.,Not many months had passed when Padre Damaso received an order from the Very Reverend Father Provincial to occupy a curacy in a remote province.,Hard,0.7995,Noli Me Tangere
"At ang taong yaón, sa loob ng̃ iláng oras, ay huhulihin, aalisín sa hihigáng kinahihiligan, na dî igagalang ang kaniyáng kalagayan, dî bibigyáng halagá ang kaniyáng mg̃a sugat, sa _patáy_ ó _buháy_ ay hiníhing̃î siya ng̃ kaniyáng mg̃a kaaway!","That man would within a few hours be a prisoner, dragged from the bed where he lay, without respect for his condition, without consideration for his wounds - dead or alive his enemies demanded him!",Hard,0.7995,El Filibusterismo
"Umaatun~gal n~g lubháng mapanglaw ang mga áso doon sa daan, at sinasampalatayanan n~g mapamahíing nakikinig na silá'y nacacakita n~g mga espíritu at n~g mga anino.","The dogs howl mournfully in the streets and superstitious folk, hearing them, are convinced that they see spirits and ghosts.",Hard,0.7994,Noli Me Tangere
"Dahíl sa bagay na ito'y ibig sana niyang magbitíw n~g pagca tagasalitâ n~g mga wicà n~g Dios sa mga tao, n~guni't sapagca't waláng ibáng makitang nacacaalam n~g búhay at mga himalâ ni San Diego,--túnay n~ga't natátalos ang mga bagay na itó n~g cura, n~guni't kinacailan~gang siyá'y magmisa,--pinagcaisahan n~g ibáng mga fraile na walâ n~g gagaling pa sa tínig n~g voces ni Párí Dámaso, at lubhang túnay na cahinahinayang na huwag italumpati ang totoong mainam na sermóng gaya na n~ga n~g naisulat at naisaulo na.","As a result of all this, he wished to renounce his part as the spokesman of God to men, but as no one else was to be found who was so well versed in the life and miracles of San Diego,--the curate knew them, it is true, but it was his place to celebrate mass,--the other priests unanimously declared that the tone of Padre Damaso's voice could not be improved upon and that it would be a great pity for him to forego delivering such an eloquent sermon as he had written and memorized.",Hard,0.7994,Noli Me Tangere
"Dalawáng bagay na mahalagá--ang sagót ni Simoun,--dalawáng katanung̃ang maidaragdág sa inyóng susulatin.","""About two very important questions,"" answered Simoun; ""two questions that you might add to your article.",Medium,0.7994,El Filibusterismo
Ang gayóng karaming pagkahabág ay nagíng sanhî upang bigyan ang General ng̃ palayaw na mahabagin at maawàín na dalìdalìng idinagdág ni Ben-Zayb sa mahabàng kabilang̃an ng̃ kaniyáng mg̃a palayaw.,"So many acts of clemency secured for the General the title of clement and merciful, which Ben-Zayb hastened to add to his long list of adjectives.",Hard,0.7993,El Filibusterismo
"Pinag-uusap-usapan ang pagdating ni María Clara, na casama n~g tía Isabel.","There was a great deal of comment on the arrival of Maria Clara, accompanied by her Aunt Isabel.",Medium,0.7992,Noli Me Tangere
"Makaraan ang dalawáng oras, ay iniharáp ng̃ mataas na kawaní ang kaniyáng pagbibitíw sa katungkulan at ipinababatíd ang kaniyáng pagbalík sa España sa unang korreong áalís.",Two hours later the high official handed in his resignation and announced his intention of returning to Spain by the next mail-steamer.,Hard,0.7992,El Filibusterismo
"Na sa isáng sûloc si Ibarra; nacaluhód si María Clara sa malapit sa altar mayor, sa isáng lugar na nagmagandang loob ang curang paalsan n~g mga tao sa pamamag-itan n~g mga sacristán.",Ibarra stood in one corner while Maria Clara knelt near the high altar in a space which the curate had had the courtesy to order the sacristans to clear for her.,Hard,0.7991,Noli Me Tangere
"¿Anó ang kinalaman mo niyan, bátà?--ang ipinagwíca n~g canyáng pinsang si Victoria.","""What do you know about that, child?"" her cousin Victoria corrected her.",Medium,0.7991,Noli Me Tangere
"Ang buwan, na walâ nang kalabang araw, ay payapàng nagtatalík sa lang̃it, at ang mg̃a punò sa gubat na nang̃agyuyukùan ay nagsasalaysayan ng̃ kaniláng matatandâng alamát sa pamag-itan ng̃ mahiwagàng bulung̃an na ipinaghahatidhatiran ng̃ hang̃in.","The moon, now free from the sun's rivalry, peacefully commanded the sky, and the trees of the forest bent down toward one another, telling their ancient legends in mysterious murmurs borne on the wings of the wind.",Hard,0.7991,El Filibusterismo
"Sa likurán ng̃ San José ay sumúsunód ang mg̃a batàng babaing umiilaw na nang̃akatalukbóng ng̃ panyông nakabuhól sa ilalim ng̃ babà, nagdadasál din ng̃ rosario, ng̃unì't hindî lamang kasinglakás ng̃ mg̃a batàng lalaki.","Behind St. Joseph came the girls bearing lights, their heads covered with handkerchiefs knotted under their chins, also reciting the rosary, but with less wrath than the boys.",Hard,0.7991,El Filibusterismo
"Ang lahát ng̃ itó'y sinásagot ng̃ dî nasisiyaháng loob na si Pecson,--isáng matabâng kung tumawa'y animo bung̃ô--sa pagsasalitâ ng̃ ukol sa mg̃a sulsól na makapangyayari, na ang Obispo A., si Padre B., ang Provincial C. ay pinagtanung̃án ó hindî at ang ipinayo ó hindî ay ang ipasok sa bilangùan ang lahát ng̃ nasa kapisanan, balitàng nagdudulot ng̃ dî ikápalagay ni Juanito Pelaez, na naúutal namán sa pagsasabing: --¡Abá, huwág ninyó akóng ihalò!......","All this was answered by the pessimist Pecson, a chubby youth with a wide, clownish grin, who spoke of outside influences, whether the Bishop A., the Padre B., or the Provincial C., had been consulted or not, whether or not they had advised that the whole association should be put in jail - a suggestion that made Juanito Pelaez so uneasy that he stammered out, ""Carambas, don't you drag me into - "" Sandoval, as a Peninsular and a liberal, became furious at this.",Hard,0.7991,El Filibusterismo
"Sumipót sa kanyáng pagbubulaybulay ang mg̃a panahóng nakaraán na warìng isáng maitîm at mahabàng badhâ na mapulápulá sa simulâ, matapos ay nakapang̃ing̃ilabot, may bahid na dugô, at sa hulí'y maitím, maitím, abuhíng malinaw at untîuntîng lumiliwanag.","His past rose before him like a long black film, rosy at first, then shadowy with spots of blood, then black, black, gray, and then light, ever lighter.",Hard,0.799,El Filibusterismo
"Gayón man, sa guitna n~g madilim na pulutóng na iyon n~g mga hábito, mga capuchón, mga cordón (lubid) at mga lambóng, na caalacbay yaóng dasál na pahumál at hindi nagbabago ang tinig, na papanood na wan~gis sa mga mapuputing mga jazmin, tulad sa mga sariwang sampaga nahahalo sa mga lumang mga basahan, ang labing dalawang batang babaeng nagagayasan n~g puti, nacocoronahan n~g mga bulaclac, culót ang buhóc, nagniningning ang mga matang cahuad n~g caniláng mga collar; waláng pinag-ibhan sa mga angel n~g caliwanagang napipilit n~g mga multó. Sila'y pawang nacacapit sa dalawang mga sintas na azul na nacatali sa carro n~g Virgen, na nagpapaalaala sa mga calapating humihíla sa ""Primavera"" (larawan n~g pasimula n~g tag-araw.)","Yet in the midst of that dark mass of gowns, hoods, girdles, and nuns' veils, from which arose a monotonous and snuffling prayer, there were to be seen, like white jasmines or fresh sampaguitas among old rags, twelve girls dressed in white, crowned with flowers, their hair curled, and flashing from their eyes glances as bright as their necklaces.",Hard,0.799,Noli Me Tangere
"Ang ibá'y nang̃ag-uusap ng̃ ukol sa mg̃a bagay-bagay na pang-kasalukuyan, ukol sa mg̃a artistang babai ng̃ operetang pransés at mahiwagàng pagkakasakít ni Simoun, na, alinsunod sa ilán, ay natagpûáng may sugat sa lansang̃an; alinsunod namán sa ibá ay nagtangkâng magpatiwakál: gaya ng̃ sadyâng dapat mangyari, siláng lahát ay nanínirá sa mg̃a pagkukuròkurò.","The others conversed on the topics of the day: about the French actresses, about the mysterious illness of Simoun, who, according to some, had been found wounded in the street, while others averred that he had attempted to commit suicide.",Hard,0.799,El Filibusterismo
